As:1,As:2,As:3,As:4,As:5,As:5_availability,As:6,As:6_availability,Assignment_Total,Qz:1,Qz:2,Qz:3,Qz:4,Qz:5,Qz:6,Qz:7,Qz:7_availability,Qz:8,Qz:8_availability,Quiz_Total,SI:1,SI:2,SI:2_availability,SI:3,SI:3_availability,SI_Total,SII:1,SII:2,SII:2_availability,SII:3,SII:3_availability,SII_Total,Project_availability,Project_Total,Final:1,Final:2,Final:2_availability,Final:3,Final:3_availability,Final:4,Final:4_availability,Final:5,Final:5_availability,Final_Total
1.86,2.59,2.45,2.43,1.48,1.0,2.35,1.0,13.16,1.4,0.67,0.4,1.6,0.68,1.0,1.5,1.0,2.0,1.0,9.25,6.56,0.0,0.0,0.0,0.0,6.56,2.34,0.0,0.0,0.0,0.0,2.34,0.0,0.0,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.08
1.67,2.91,1.3,2.1,2.01,1.0,2.37,1.0,12.36,1.0,0.93,0.0,2.0,1.4,2.0,1.67,1.0,2.0,1.0,11.0,4.69,0.0,0.0,0.0,0.0,4.69,4.12,0.0,0.0,0.0,0.0,4.12,0.0,0.0,24.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.07
2.61,2.66,0.0,2.82,2.0,1.0,2.67,1.0,12.76,1.4,0.33,0.2,0.2,0.4,0.4,2.0,1.0,2.0,1.0,6.93,3.56,0.0,0.0,0.0,0.0,3.56,2.44,0.0,0.0,0.0,0.0,2.44,0.0,0.0,14.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.62
1.41,1.86,0.0,1.32,2.03,1.0,1.67,1.0,8.29,0.6,0.67,0.1,0.0,0.0,0.4,0.5,1.0,2.0,1.0,4.27,6.94,0.0,0.0,0.0,0.0,6.94,3.38,0.0,0.0,0.0,0.0,3.38,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6
2.4,2.87,2.42,2.7,3.0,1.0,3.0,1.0,16.39,2.0,1.4,2.0,2.0,1.3,2.0,1.5,1.0,2.0,1.0,14.2,10.69,0.0,0.0,0.0,0.0,10.69,6.56,0.0,0.0,0.0,0.0,6.56,0.0,0.0,33.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.63
0.0,2.23,2.03,1.23,1.38,1.0,1.93,1.0,8.8,1.8,0.73,0.3,0.0,1.6,1.6,0.5,1.0,2.0,1.0,8.53,3.94,0.0,0.0,0.0,0.0,3.94,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,17.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.77
2.72,2.66,2.85,2.37,2.72,1.0,3.0,1.0,16.32,2.0,1.13,1.9,2.0,1.4,1.8,1.67,1.0,2.0,1.0,13.9,8.53,0.0,0.0,0.0,0.0,8.53,5.16,0.0,0.0,0.0,0.0,5.16,0.0,0.0,31.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.72
0.0,2.01,1.47,1.38,1.27,1.0,2.35,1.0,8.48,0.8,0.8,0.1,0.0,0.2,1.26,0.5,1.0,2.0,1.0,5.66,2.44,0.0,0.0,0.0,0.0,2.44,1.88,0.0,0.0,0.0,0.0,1.88,0.0,0.0,5.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.96
2.42,2.79,2.25,2.82,2.33,1.0,2.9,1.0,15.51,1.4,1.13,0.0,0.2,0.2,0.8,1.5,1.0,2.0,1.0,7.23,5.25,0.0,0.0,0.0,0.0,5.25,9.1,0.0,0.0,0.0,0.0,9.1,0.0,0.0,26.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.21
2.61,2.53,1.72,1.98,1.65,1.0,1.63,1.0,12.12,1.8,0.27,0.1,0.0,0.0,0.6,0.33,1.0,2.0,1.0,5.1,3.38,0.0,0.0,0.0,0.0,3.38,1.78,0.0,0.0,0.0,0.0,1.78,0.0,0.0,12.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.48
0.0,2.81,2.02,1.68,1.55,1.0,2.43,1.0,10.49,1.0,0.87,1.8,2.0,2.0,1.4,1.33,1.0,2.0,1.0,12.4,5.53,0.0,0.0,0.0,0.0,5.53,6.56,0.0,0.0,0.0,0.0,6.56,0.0,0.0,27.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.22
2.42,2.57,1.32,3.0,2.0,1.0,2.97,1.0,14.28,0.0,0.27,1.1,0.2,0.2,0.6,1.17,1.0,2.0,1.0,5.54,5.81,0.0,0.0,0.0,0.0,5.81,2.34,0.0,0.0,0.0,0.0,2.34,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
2.12,2.19,0.0,2.1,2.12,1.0,2.4,1.0,10.93,1.0,0.73,0.3,0.2,0.2,0.8,0.17,1.0,2.0,1.0,5.4,6.94,0.0,0.0,0.0,0.0,6.94,6.09,0.0,0.0,0.0,0.0,6.09,0.0,0.0,21.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.37
